Frequency (MHz),Power (arbitrary units),Date and Time,Bin Size Info
1419.3817510000001,130.76666968537722,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.3857588277888,128.88007358491302,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.3897666555774,129.39188410836567,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.393774483366,128.1015862443807,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.3977823111547,123.35193255263188,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4017901389434,121.31612273177447,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.405797966732,120.1627861941159,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4098057945207,119.23209328069696,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4138136223094,118.2960823409643,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.417821450098,117.58856564416445,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4218292778867,116.93282702724348,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4258371056753,116.60937217132788,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.429844933464,116.6665553273318,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4338527612526,116.77970013053887,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4378605890413,117.07801162946357,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.44186841683,117.59170958550581,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4458762446186,119.08436536285797,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4498840724073,120.57597397782176,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.453891900196,121.73861077124663,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4578997279846,122.95041619650088,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4619075557732,124.80591262502455,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4659153835619,127.1169374934367,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4699232113503,129.4059255798287,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.473931039139,131.55042540451612,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4779388669276,134.014989541826,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4819466947163,137.25152744049473,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.485954522505,140.17090143640885,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4899623502936,142.5725048704216,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.4939701780822,145.8960556168639,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.497978005871,149.20287036710383,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5019858336595,152.1706738772972,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5059936614482,155.48621761791247,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5100014892369,158.38622408797562,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5140093170255,161.93325899141308,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5180171448142,166.02659198812876,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5220249726028,169.79713781732292,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5260328003915,173.1012116671838,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5300406281801,176.42690698180516,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5340484559688,179.93519623919124,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5380562837574,183.83095392983938,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.542064111546,187.86068920969407,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5460719393348,192.1300813983531,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5500797671234,195.7511156746887,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.554087594912,198.7642721290692,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
1419.5580954227007,202.38776116458524,2024-12-19 16:36:21,Bin Size: 4000.0 Hz
