VSLR, Tbright
227.288808,0.443908
226.442911,0.542512
225.597015,1.002385
224.751118,1.217154
223.905221,1.456727
223.059325,1.748336
222.213428,0.856873
221.367531,1.515616
220.521634,2.167694
219.675738,1.019865
218.829841,1.283711
217.983944,1.191453
217.138048,0.958826
216.292151,1.181989
215.446254,1.075279
214.600357,0.941460
213.754461,0.577591
212.908564,0.495929
212.062667,0.006222
211.216771,0.507879
210.370874,0.708895
209.524977,0.907725
208.679081,0.835626
207.833184,0.597950
206.987287,0.684786
206.141390,0.933571
205.295494,0.717166
204.449597,0.878361
203.603700,0.616511
202.757804,1.039511
201.911907,0.894355
201.066010,0.438204
200.220113,1.048547
199.374217,0.984767
198.528320,0.912882
197.682423,1.232833
196.836527,1.613323
195.990630,1.764243
195.144733,1.578898
194.298837,1.129372
193.452940,1.615641
192.607043,1.234386
191.761146,0.838473
190.915250,0.815464
190.069353,0.643800
189.223456,0.066108
188.377560,0.687263
187.531663,0.972334
186.685766,1.676423
185.839870,0.687547
184.993973,0.802619
184.148076,0.907699
183.302179,1.206298
182.456283,0.982159
181.610386,0.001044
180.764489,0.422837
179.918593,1.167364
179.072696,0.860906
178.226799,0.666659
177.380902,0.673699
176.535006,1.734134
175.689109,1.345745
174.843212,1.014092
173.997316,0.241596
173.151419,0.482635
172.305522,0.450322
171.459626,0.653558
170.613729,1.141670
169.767832,0.893026
168.921935,0.786557
168.076039,1.173147
167.230142,0.899919
166.384245,0.726691
165.538349,0.341822
164.692452,0.919129
163.846555,1.639150
163.000658,1.589117
162.154762,1.362827
161.308865,0.763320
160.462968,0.839343
159.617072,0.856863
158.771175,0.974436
157.925278,1.506790
157.079382,0.542325
156.233485,0.310451
155.387588,0.580340
154.541691,1.119411
153.695795,1.376194
152.849898,1.226440
152.004001,1.059803
151.158105,0.910859
150.312208,1.028830
149.466311,1.293594
148.620415,1.145221
147.774518,0.983001
146.928621,0.368706
146.082724,0.844467
145.236828,1.236616
144.390931,1.308998
143.545034,0.876882
142.699138,0.881864
141.853241,1.534033
141.007344,1.022540
140.161447,1.001053
139.315551,1.304995
138.469654,1.800191
137.623757,1.518710
136.777861,0.984006
135.931964,1.294246
135.086067,0.969963
134.240171,0.990534
133.394274,1.282094
132.548377,0.497961
131.702480,0.550151
130.856584,1.460684
130.010687,1.147038
129.164790,0.853784
128.318894,1.499838
127.472997,1.427518
126.627100,1.640937
125.781203,1.790256
124.935307,1.708123
124.089410,1.241324
123.243513,1.255083
122.397617,1.799153
121.551720,1.764692
120.705823,1.603643
119.859927,1.314979
119.014030,1.823531
118.168133,1.211386
117.322236,1.206436
116.476340,1.797288
115.630443,1.722253
114.784546,2.008675
113.938650,1.991107
